fen,moves,rating,themes,gameurl,moves_alg,final_fen,fen_after_first_move,placement,active,castling,enpassant,number_of_pieces,positions,id
8/1R6/p1pk4/6bp/1QP5/P7/KP6/3r2q1 b - - 2 44,g1c5 b7d7 d6d7 b4c5,1211,advantage deflection endgame short,https://lichess.org/356BAYqk/black#88, Qc5 Rd7+ Kxd7 Qxc5,8/3k4/p1p5/2Q3bp/2P5/P7/KP6/3r4 b - - 0 46,8/1R6/p1pk4/2q3bp/1QP5/P7/KP6/3r4 w - - 3 45,8/1R6/p1pk4/2q3bp/1QP5/P7/KP6/3r4,w,-,-,13,"K a2, P a3, p a6, P b2, Q b4, R b7, P c4, q c5, p c6, r d1, k d6, b g5, p h5",75
8/4bkp1/R6P/4p3/Pp2P3/1P1rB3/6P1/6K1 b - - 0 33,d3e3 h6h7 e3e1 g1h2,1753,advancedPawn crushing endgame short,https://lichess.org/NQjprK7P/black#66, Rxe3 h7 Re1+ Kh2,8/4bkpP/R7/4p3/Pp2P3/1P6/6PK/4r3 b - - 2 35,8/4bkp1/R6P/4p3/Pp2P3/1P2r3/6P1/6K1 w - - 0 34,8/4bkp1/R6P/4p3/Pp2P3/1P2r3/6P1/6K1,w,-,-,13,"P a4, R a6, P b3, p b4, r e3, P e4, p e5, b e7, k f7, K g1, P g2, p g7, P h6",76
2K5/3P4/5b2/p1B5/P7/3k4/6p1/8 w - - 7 77,d7d8q f6d8 c8d8 d3c4,1738,crushing endgame short,https://lichess.org/b7iJvp5Z#153, d8=Q+ Bxd8 Kxd8 Kc4,3K4/8/8/p1B5/P1k5/8/6p1/8 w - - 1 79,2KQ4/8/5b2/p1B5/P7/3k4/6p1/8 b - - 0 77,2KQ4/8/5b2/p1B5/P7/3k4/6p1/8,b,-,-,8,"P a4, p a5, B c5, K c8, k d3, Q d8, b f6, p g2",77
r2qk2r/ppp2ppp/2n1b3/1B1N4/3b4/3P3P/P1P1QPP1/1R2K1NR w Kkq - 4 13,g1f3 d8d5 f3d4 d5d4 b5c6 b7c6,1572,advantage hangingPiece long middlegame,https://lichess.org/JCYgLgB2#25, Nf3 Qxd5 Nxd4 Qxd4 Bxc6+ bxc6,r3k2r/p1p2ppp/2p1b3/8/3q4/3P3P/P1P1QPP1/1R2K2R w Kkq - 0 16,r2qk2r/ppp2ppp/2n1b3/1B1N4/3b4/3P1N1P/P1P1QPP1/1R2K2R b Kkq - 5 13,r2qk2r/ppp2ppp/2n1b3/1B1N4/3b4/3P1N1P/P1P1QPP1/1R2K2R,b,Kkq,-,26,"P a2, p a7, r a8, R b1, B b5, p b7, P c2, n c6, p c7, P d3, b d4, N d5, q d8, K e1, Q e2, b e6, k e8, P f2, N f3, p f7, P g2, p g7, R h1, P h3, p h7, r h8",78
r4rk1/pp2bppp/2ppnn2/8/N1P1P3/q1P4P/P2N2PB/R2Q1R1K b - - 0 16,a8d8 d2b1 a3a4 d1a4,1541,advantage master middlegame short trappedPiece,https://lichess.org/IBbaWSo7/black#32, Rad8 Nb1 Qxa4 Qxa4,3r1rk1/pp2bppp/2ppnn2/8/Q1P1P3/2P4P/P5PB/RN3R1K b - - 0 18,3r1rk1/pp2bppp/2ppnn2/8/N1P1P3/q1P4P/P2N2PB/R2Q1R1K w - - 1 17,3r1rk1/pp2bppp/2ppnn2/8/N1P1P3/q1P4P/P2N2PB/R2Q1R1K,w,-,-,27,"R a1, P a2, q a3, N a4, p a7, p b7, P c3, P c4, p c6, Q d1, N d2, p d6, r d8, P e4, n e6, b e7, R f1, n f6, p f7, r f8, P g2, p g7, k g8, K h1, B h2, P h3, p h7",79
2r3k1/4R1pp/p1p2p2/2p5/2P5/1PbN3P/P4PP1/6K1 w - - 0 25,d3c5 c3b4 e7a7 b4c5,1455,advantage endgame short,https://lichess.org/SjQSgSG9#49, Nxc5 Bb4 Ra7 Bxc5,2r3k1/R5pp/p1p2p2/2b5/2P5/1P5P/P4PP1/6K1 w - - 0 27,2r3k1/4R1pp/p1p2p2/2N5/2P5/1Pb4P/P4PP1/6K1 b - - 0 25,2r3k1/4R1pp/p1p2p2/2N5/2P5/1Pb4P/P4PP1/6K1,b,-,-,17,"P a2, p a6, P b3, b c3, P c4, N c5, p c6, r c8, R e7, P f2, p f6, K g1, P g2, p g7, k g8, P h3, p h7",80
1rb1qrk1/6bp/2np4/2pNpp2/2P5/3P1B2/1B3PPP/1R1QR1K1 b - - 0 22,c8e6 d5c7 e8f7 c7e6,1707,crushing middlegame short,https://lichess.org/qNuFxL0D/black#44, Be6 Nc7 Qf7 Nxe6,1r3rk1/5qbp/2npN3/2p1pp2/2P5/3P1B2/1B3PPP/1R1QR1K1 b - - 0 24,1r2qrk1/6bp/2npb3/2pNpp2/2P5/3P1B2/1B3PPP/1R1QR1K1 w - - 1 23,1r2qrk1/6bp/2npb3/2pNpp2/2P5/3P1B2/1B3PPP/1R1QR1K1,w,-,-,24,"R b1, B b2, r b8, P c4, p c5, n c6, Q d1, P d3, N d5, p d6, R e1, p e5, b e6, q e8, P f2, B f3, p f5, r f8, K g1, P g2, b g7, k g8, P h2, p h7",81
3r2k1/1q3ppp/p2rp3/Qp1B4/7P/P4P2/1PP3P1/1K1R3R b - - 0 21,d6d5 a5d8 d5d8 d1d8,1470,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/6qWf8wOP/black#42, Rxd5 Qxd8+ Rxd8 Rxd8#,3R2k1/1q3ppp/p3p3/1p6/7P/P4P2/1PP3P1/1K5R b - - 0 23,3r2k1/1q3ppp/p3p3/Qp1r4/7P/P4P2/1PP3P1/1K1R3R w - - 0 22,3r2k1/1q3ppp/p3p3/Qp1r4/7P/P4P2/1PP3P1/1K1R3R,w,-,-,20,"P a3, Q a5, p a6, K b1, P b2, p b5, q b7, P c2, R d1, r d5, r d8, p e6, P f3, p f7, P g2, p g7, k g8, R h1, P h4, p h7",82
1r2kr2/pp3p1p/2b1pn2/4N3/2P5/1N1B4/P3KP1P/6R1 b - - 4 21,f6e4 e5c6 b7c6 d3e4,1337,advantage capturingDefender middlegame short,https://lichess.org/GN8F9TsL/black#42, Ne4 Nxc6 bxc6 Bxe4,1r2kr2/p4p1p/2p1p3/8/2P1B3/1N6/P3KP1P/6R1 b - - 0 23,1r2kr2/pp3p1p/2b1p3/4N3/2P1n3/1N1B4/P3KP1P/6R1 w - - 5 22,1r2kr2/pp3p1p/2b1p3/4N3/2P1n3/1N1B4/P3KP1P/6R1,w,-,-,19,"P a2, p a7, N b3, p b7, r b8, P c4, b c6, B d3, K e2, n e4, N e5, p e6, k e8, P f2, p f7, r f8, R g1, P h2, p h7",83
r6r/pp2kb2/3p1p1Q/1N1Pp3/3bP3/P2B2P1/1P4PP/7K w - - 6 28,h6d2 h8h2 h1h2 a8h8 d2h6 h8h6,1500,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/ANKrgoJi#55, Qd2 Rxh2+ Kxh2 Rh8+ Qh6 Rxh6#,8/pp2kb2/3p1p1r/1N1Pp3/3bP3/P2B2P1/1P4PK/8 w - - 0 31,r6r/pp2kb2/3p1p2/1N1Pp3/3bP3/P2B2P1/1P1Q2PP/7K b - - 7 28,r6r/pp2kb2/3p1p2/1N1Pp3/3bP3/P2B2P1/1P1Q2PP/7K,b,-,-,21,"P a3, p a7, r a8, P b2, N b5, p b7, Q d2, B d3, b d4, P d5, p d6, P e4, p e5, k e7, p f6, b f7, P g2, P g3, K h1, P h2, r h8",84
8/5p1k/5Ppb/2p3P1/1p6/8/KB5Q/3q4 b - - 4 58,d1a4 a2b1 a4d1 b2c1,1394,endgame equality pin short,https://lichess.org/YqVcRoWF/black#116, Qa4+ Kb1 Qd1+ Bc1,8/5p1k/5Ppb/2p3P1/1p6/8/7Q/1KBq4 b - - 8 60,8/5p1k/5Ppb/2p3P1/qp6/8/KB5Q/8 w - - 5 59,8/5p1k/5Ppb/2p3P1/qp6/8/KB5Q/8,w,-,-,12,"K a2, q a4, B b2, p b4, p c5, P f6, p f7, P g5, p g6, Q h2, b h6, k h7",85
7R/8/8/6p1/2p1p1k1/2PbK2p/P7/8 w - - 4 71,e3f2 e4e3 f2e3 g4g3,1753,crushing defensiveMove endgame master short,https://lichess.org/JJZ8AIxT#141, Kf2 e3+ Kxe3 Kg3,7R/8/8/6p1/2p5/2PbK1kp/P7/8 w - - 1 73,7R/8/8/6p1/2p1p1k1/2Pb3p/P4K2/8 b - - 5 71,7R/8/8/6p1/2p1p1k1/2Pb3p/P4K2/8,b,-,-,10,"P a2, P c3, p c4, b d3, p e4, K f2, k g4, p g5, p h3, R h8",86
r2k2nr/pp2qBb1/3p3p/Q5p1/3n1B2/2N2R2/PPP3P1/R5K1 b - - 1 18,b7b6 a5d5 d4f3 g2f3 a8c8 f4d6,2020,advantage long middlegame sacrifice,https://lichess.org/sr8OoFsx/black#36, b6 Qd5 Nxf3+ gxf3 Rc8 Bxd6,2rk2nr/p3qBb1/1p1B3p/3Q2p1/8/2N2P2/PPP5/R5K1 b - - 0 21,r2k2nr/p3qBb1/1p1p3p/Q5p1/3n1B2/2N2R2/PPP3P1/R5K1 w - - 0 19,r2k2nr/p3qBb1/1p1p3p/Q5p1/3n1B2/2N2R2/PPP3P1/R5K1,w,-,-,23,"R a1, P a2, Q a5, p a7, r a8, P b2, p b6, P c2, N c3, n d4, p d6, k d8, q e7, R f3, B f4, B f7, K g1, P g2, p g5, b g7, n g8, p h6, r h8",87
8/8/3p4/4kp2/1pP3pP/1RbK2P1/8/8 w - - 2 42,b3c3 b4c3 d3c3 f5f4 c3d3 f4g3,1509,crushing endgame long,https://lichess.org/y0n2EkgP#83, Rxc3 bxc3 Kxc3 f4 Kd3 fxg3,8/8/3p4/4k3/2P3pP/3K2p1/8/8 w - - 0 45,8/8/3p4/4kp2/1pP3pP/2RK2P1/8/8 b - - 0 42,8/8/3p4/4kp2/1pP3pP/2RK2P1/8/8,b,-,-,10,"p b4, R c3, P c4, K d3, p d6, k e5, p f5, P g3, p g4, P h4",88
5r1k/6b1/3p3p/1P1q2pQ/r5P1/3p1N1P/3R2P1/4R2K w - - 2 34,e1d1 f8f3 g2f3 d5f3,1359,crushing middlegame short,https://lichess.org/PJQUqCX1#67, Red1 Rxf3 gxf3 Qxf3+,7k/6b1/3p3p/1P4pQ/r5P1/3p1q1P/3R4/3R3K w - - 0 36,5r1k/6b1/3p3p/1P1q2pQ/r5P1/3p1N1P/3R2P1/3R3K b - - 3 34,5r1k/6b1/3p3p/1P1q2pQ/r5P1/3p1N1P/3R2P1/3R3K,b,-,-,18,"r a4, P b5, R d1, R d2, p d3, q d5, p d6, N f3, r f8, P g2, P g4, p g5, b g7, K h1, P h3, Q h5, p h6, k h8",89
2r1q1k1/8/b2b1r1p/Pp1pNpp1/3Pn3/1RPQ3P/P1B1NPP1/4R1K1 w - - 3 28,a2a4 b5a4 d3a6 a4b3,1344,advantage middlegame short,https://lichess.org/fswqBBFw#55, a4 bxa4 Qxa6 axb3,2r1q1k1/8/Q2b1r1p/P2pNpp1/3Pn3/1pP4P/2B1NPP1/4R1K1 w - - 0 30,2r1q1k1/8/b2b1r1p/Pp1pNpp1/P2Pn3/1RPQ3P/2B1NPP1/4R1K1 b - - 0 28,2r1q1k1/8/b2b1r1p/Pp1pNpp1/P2Pn3/1RPQ3P/2B1NPP1/4R1K1,b,-,-,26,"P a4, P a5, b a6, R b3, p b5, B c2, P c3, r c8, Q d3, P d4, p d5, b d6, R e1, N e2, n e4, N e5, q e8, P f2, p f5, r f6, K g1, P g2, p g5, k g8, P h3, p h6",90
Q5k1/5q2/p2p4/b1p1pr2/P7/6P1/4KP1R/8 b - - 3 38,g8g7 a8h8 g7g6 h8h6,1157,endgame mate mateIn2 short,https://lichess.org/yKolw9vl/black#76, Kg7 Qh8+ Kg6 Qh6#,8/5q2/p2p2kQ/b1p1pr2/P7/6P1/4KP1R/8 b - - 7 40,Q7/5qk1/p2p4/b1p1pr2/P7/6P1/4KP1R/8 w - - 4 39,Q7/5qk1/p2p4/b1p1pr2/P7/6P1/4KP1R/8,w,-,-,14,"P a4, b a5, p a6, Q a8, p c5, p d6, K e2, p e5, P f2, r f5, q f7, P g3, k g7, R h2",91
5rk1/bpp3pp/p1npb3/4p3/1P2Nr1q/P1PP3P/1B1QBPR1/2K3R1 b - - 2 21,h4h3 g2g7 g8h8 e4g5,1761,crushing kingsideAttack middlegame short,https://lichess.org/PgppfwbE/black#42, Qxh3 Rxg7+ Kh8 Ng5,5r1k/bpp3Rp/p1npb3/4p1N1/1P3r2/P1PP3q/1B1QBP2/2K3R1 b - - 2 23,5rk1/bpp3pp/p1npb3/4p3/1P2Nr2/P1PP3q/1B1QBPR1/2K3R1 w - - 0 22,5rk1/bpp3pp/p1npb3/4p3/1P2Nr2/P1PP3q/1B1QBPR1/2K3R1,w,-,-,26,"P a3, p a6, b a7, B b2, P b4, p b7, K c1, P c3, n c6, p c7, Q d2, P d3, p d6, B e2, N e4, p e5, b e6, P f2, r f4, r f8, R g1, R g2, p g7, k g8, q h3, p h7",92
rnq2r2/pp3pbk/3p1n2/2pPpPQ1/2P1P3/2N2NP1/PP4KP/R4R2 b - - 2 18,f8g8 g5h4 g7h6 h4f6,1697,crushing deflection middlegame short,https://lichess.org/RKX1Co2s/black#36, Rg8 Qh4+ Bh6 Qxf6,rnq3r1/pp3p1k/3p1Q1b/2pPpP2/2P1P3/2N2NP1/PP4KP/R4R2 b - - 0 20,rnq3r1/pp3pbk/3p1n2/2pPpPQ1/2P1P3/2N2NP1/PP4KP/R4R2 w - - 3 19,rnq3r1/pp3pbk/3p1n2/2pPpPQ1/2P1P3/2N2NP1/PP4KP/R4R2,w,-,-,27,"R a1, P a2, p a7, r a8, P b2, p b7, n b8, N c3, P c4, p c5, q c8, P d5, p d6, P e4, p e5, R f1, N f3, P f5, n f6, p f7, K g2, P g3, Q g5, b g7, r g8, P h2, k h7",93
8/p5pk/1p3b1p/3r3P/6P1/3nBN2/P4PK1/4R3 w - - 3 30,e1d1 d3f4 e3f4 d5d1,1079,crushing discoveredAttack endgame short,https://lichess.org/T0mRW37D#59, Rd1 Nf4+ Bxf4 Rxd1,8/p5pk/1p3b1p/7P/5BP1/5N2/P4PK1/3r4 w - - 0 32,8/p5pk/1p3b1p/3r3P/6P1/3nBN2/P4PK1/3R4 b - - 4 30,8/p5pk/1p3b1p/3r3P/6P1/3nBN2/P4PK1/3R4,b,-,-,16,"P a2, p a7, p b6, R d1, n d3, r d5, B e3, P f2, N f3, b f6, K g2, P g4, p g7, P h5, p h6, k h7",94
2k4r/pp3pp1/4pn2/2np2p1/8/1B1P1Pq1/PPPN1R2/R2Q3K w - - 6 20,f2h2 g3h2,728,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/AKiNfVd0#39, Rh2 Qxh2#,2k4r/pp3pp1/4pn2/2np2p1/8/1B1P1P2/PPPN3q/R2Q3K w - - 0 21,2k4r/pp3pp1/4pn2/2np2p1/8/1B1P1Pq1/PPPN3R/R2Q3K b - - 7 20,2k4r/pp3pp1/4pn2/2np2p1/8/1B1P1Pq1/PPPN3R/R2Q3K,b,-,-,23,"R a1, P a2, p a7, P b2, B b3, p b7, P c2, n c5, k c8, Q d1, N d2, P d3, p d5, p e6, P f3, n f6, p f7, q g3, p g5, p g7, K h1, R h2, r h8",95
r2qk2r/1pp2ppp/p1pb1n2/4P3/3Q4/2N2b2/PPP2PPP/R1B2RK1 w kq - 0 10,e5f6 d6h2 g1h2 d8d4,1319,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/EqbT8Dsc#19, exf6 Bxh2+ Kxh2 Qxd4,r3k2r/1pp2ppp/p1p2P2/8/3q4/2N2b2/PPP2PPK/R1B2R2 w kq - 0 12,r2qk2r/1pp2ppp/p1pb1P2/8/3Q4/2N2b2/PPP2PPP/R1B2RK1 b kq - 0 10,r2qk2r/1pp2ppp/p1pb1P2/8/3Q4/2N2b2/PPP2PPP/R1B2RK1,b,kq,-,26,"R a1, P a2, p a6, r a8, P b2, p b7, B c1, P c2, N c3, p c6, p c7, Q d4, b d6, q d8, k e8, R f1, P f2, b f3, P f6, p f7, K g1, P g2, p g7, P h2, p h7, r h8",96
5rk1/4bppp/4b3/1p1pPpPP/2pP4/2P5/rqNQKP2/2RRN3 b - - 5 23,e7a3 c1b1 b2b3 b1b3,1648,advantage middlegame short trappedPiece,https://lichess.org/bT7kcwFH/black#46, Ba3 Rb1 Qb3 Rxb3,5rk1/5ppp/4b3/1p1pPpPP/2pP4/bRP5/r1NQKP2/3RN3 b - - 0 25,5rk1/5ppp/4b3/1p1pPpPP/2pP4/b1P5/rqNQKP2/2RRN3 w - - 6 24,5rk1/5ppp/4b3/1p1pPpPP/2pP4/b1P5/rqNQKP2/2RRN3,w,-,-,25,"r a2, b a3, q b2, p b5, R c1, N c2, P c3, p c4, R d1, Q d2, P d4, p d5, N e1, K e2, P e5, b e6, P f2, p f5, p f7, r f8, P g5, p g7, k g8, P h5, p h7",97
8/2p1N1p1/3r3p/6k1/3p4/6P1/6KP/3R4 w - - 0 42,h2h4 g5f6,1277,defensiveMove endgame equality oneMove,https://lichess.org/dlF3OKdi#83, h4+ Kf6,8/2p1N1p1/3r1k1p/8/3p3P/6P1/6K1/3R4 w - - 1 43,8/2p1N1p1/3r3p/6k1/3p3P/6P1/6K1/3R4 b - - 0 42,8/2p1N1p1/3r3p/6k1/3p3P/6P1/6K1/3R4,b,-,-,11,"p c7, R d1, p d4, r d6, N e7, K g2, P g3, k g5, p g7, P h4, p h6",98
7Q/8/8/1pk5/8/4K3/2q5/8 b - - 14 57,c2b3 e3d2,1079,defensiveMove endgame equality oneMove queenEndgame,https://lichess.org/zZ3pnt2j/black#114, Qb3+ Kd2,7Q/8/8/1pk5/8/1q6/3K4/8 b - - 16 58,7Q/8/8/1pk5/8/1q2K3/8/8 w - - 15 58,7Q/8/8/1pk5/8/1q2K3/8/8,w,-,-,5,"q b3, p b5, k c5, K e3, Q h8",99
3rr1k1/p4pp1/1pp4p/3pPQ2/1P3P2/2P3qP/P2R2P1/5RK1 w - - 1 24,f1f3 g3e1 g1h2 e1d2,1008,crushing endgame fork short,https://lichess.org/FrMf0UcF#47, Rf3 Qe1+ Kh2 Qxd2,3rr1k1/p4pp1/1pp4p/3pPQ2/1P3P2/2P2R1P/P2q2PK/8 w - - 0 26,3rr1k1/p4pp1/1pp4p/3pPQ2/1P3P2/2P2RqP/P2R2P1/6K1 b - - 2 24,3rr1k1/p4pp1/1pp4p/3pPQ2/1P3P2/2P2RqP/P2R2P1/6K1,b,-,-,22,"P a2, p a7, P b4, p b6, P c3, p c6, R d2, p d5, r d8, P e5, r e8, R f3, P f4, Q f5, p f7, K g1, P g2, q g3, p g7, k g8, P h3, p h6",100
